time,lat,lon,ssp126_r20mm_p10,ssp126_r20mm_p50,ssp126_r20mm_p90,ssp245_r20mm_p10,ssp245_r20mm_p50,ssp245_r20mm_p90,ssp585_r20mm_p10,ssp585_r20mm_p50,ssp585_r20mm_p90
2043-01-01,43.041666585,-80.04166910500001,4.50,8.00,13.00,5.50,7.50,13.00,5.00,8.50,12.50
2044-01-01,43.041666585,-80.04166910500001,5.50,8.00,12.00,5.50,8.50,11.00,4.50,9.00,13.00
2045-01-01,43.041666585,-80.04166910500001,5.00,7.00,11.50,4.50,8.50,11.00,4.00,8.50,12.50
2046-01-01,43.041666585,-80.04166910500001,5.00,8.00,12.50,4.00,8.00,13.00,4.00,7.50,11.50
2047-01-01,43.041666585,-80.04166910500001,5.00,9.00,11.50,4.50,8.00,12.50,5.00,8.00,12.00
2048-01-01,43.041666585,-80.04166910500001,4.00,8.00,11.50,4.50,8.00,11.50,4.50,8.50,13.00
2049-01-01,43.041666585,-80.04166910500001,3.50,7.00,11.00,4.50,8.00,12.50,4.50,8.50,12.50
2050-01-01,43.041666585,-80.04166910500001,5.00,8.00,13.50,5.00,8.50,12.00,4.50,9.00,11.00
2051-01-01,43.041666585,-80.04166910500001,4.50,9.00,14.00,4.50,8.50,12.00,4.50,10.00,13.50
2052-01-01,43.041666585,-80.04166910500001,5.00,7.00,10.50,5.00,9.00,11.50,3.00,8.00,11.50
2053-01-01,43.041666585,-80.04166910500001,3.00,7.00,9.00,5.00,9.00,14.00,5.00,8.50,12.00
2054-01-01,43.041666585,-80.04166910500001,5.00,8.00,12.50,5.50,8.00,11.00,5.00,8.50,13.00
2055-01-01,43.041666585,-80.04166910500001,4.00,8.00,11.50,4.00,8.50,12.00,6.50,9.00,12.50
2056-01-01,43.041666585,-80.04166910500001,5.00,9.00,12.00,6.00,8.00,12.50,5.50,9.00,12.00
2057-01-01,43.041666585,-80.04166910500001,5.00,8.00,12.50,5.00,8.00,13.00,5.50,9.00,14.50
2058-01-01,43.041666585,-80.04166910500001,5.00,10.00,13.00,5.00,8.00,12.00,6.00,9.50,14.00
2059-01-01,43.041666585,-80.04166910500001,4.50,8.00,11.50,5.00,9.50,12.50,5.50,8.50,13.00
2060-01-01,43.041666585,-80.04166910500001,5.00,7.00,11.00,6.00,8.00,12.50,5.00,10.00,14.00
2061-01-01,43.041666585,-80.04166910500001,4.00,8.00,10.50,5.50,8.00,14.50,5.00,9.00,14.50
2062-01-01,43.041666585,-80.04166910500001,5.00,7.50,11.50,6.00,9.00,12.50,3.50,8.00,13.00
2063-01-01,43.041666585,-80.04166910500001,5.00,8.00,11.50,5.00,8.00,11.50,4.50,10.00,13.50
2064-01-01,43.041666585,-80.04166910500001,4.50,9.00,12.00,4.50,8.50,13.50,6.00,10.00,13.00
2065-01-01,43.041666585,-80.04166910500001,5.00,9.00,13.50,5.00,8.50,13.50,5.00,8.00,11.00
2066-01-01,43.041666585,-80.04166910500001,5.50,9.00,12.50,7.00,9.00,11.00,5.50,8.00,12.50
2067-01-01,43.041666585,-80.04166910500001,5.00,7.00,12.00,5.50,7.00,11.00,6.00,8.50,11.00
2068-01-01,43.041666585,-80.04166910500001,5.00,7.50,9.50,6.50,9.00,12.00,6.00,8.50,12.00
2069-01-01,43.041666585,-80.04166910500001,5.50,8.00,11.50,4.00,8.00,12.50,4.00,10.00,12.00
2070-01-01,43.041666585,-80.04166910500001,4.00,8.00,11.00,5.50,10.00,12.50,5.00,10.00,14.00
2071-01-01,43.041666585,-80.04166910500001,4.00,7.50,11.50,5.00,8.00,11.00,6.00,10.00,14.50
2072-01-01,43.041666585,-80.04166910500001,4.50,8.00,12.00,3.00,8.00,11.50,6.00,9.00,13.00
2073-01-01,43.041666585,-80.04166910500001,5.00,9.00,14.00,5.00,8.50,15.00,5.50,10.50,13.50
2074-01-01,43.041666585,-80.04166910500001,3.00,8.00,13.00,6.00,9.00,14.00,6.50,10.00,15.50
2075-01-01,43.041666585,-80.04166910500001,5.50,8.00,13.50,5.50,8.50,11.50,6.00,9.50,15.00
2076-01-01,43.041666585,-80.04166910500001,5.00,8.50,12.50,5.50,9.00,13.50,5.50,9.00,13.00
2077-01-01,43.041666585,-80.04166910500001,4.50,7.00,11.50,5.50,9.00,12.50,6.00,10.50,16.00
2078-01-01,43.041666585,-80.04166910500001,5.00,8.50,11.50,5.00,8.00,11.00,6.00,9.50,15.00
2079-01-01,43.041666585,-80.04166910500001,4.00,7.50,10.50,5.00,7.50,11.50,5.50,11.00,14.50
2080-01-01,43.041666585,-80.04166910500001,5.50,8.00,12.00,5.00,9.50,14.00,6.00,9.50,13.00
2081-01-01,43.041666585,-80.04166910500001,6.00,9.00,12.00,5.50,9.00,12.50,6.50,9.50,14.00
2082-01-01,43.041666585,-80.04166910500001,5.00,8.00,12.50,6.00,10.00,12.00,6.00,10.00,13.50
2083-01-01,43.041666585,-80.04166910500001,6.00,8.00,10.00,5.00,8.00,12.00,6.00,9.00,15.00
2084-01-01,43.041666585,-80.04166910500001,6.50,10.00,15.50,5.00,8.00,11.50,5.00,9.00,16.00
2085-01-01,43.041666585,-80.04166910500001,5.00,9.00,12.50,5.00,9.00,14.50,6.50,11.50,15.50
2086-01-01,43.041666585,-80.04166910500001,4.50,9.00,15.50,6.00,10.00,14.50,6.00,11.00,14.00
2087-01-01,43.041666585,-80.04166910500001,6.00,8.00,10.50,5.00,8.50,13.00,6.00,11.00,14.50
2088-01-01,43.041666585,-80.04166910500001,4.00,8.00,12.50,6.00,9.00,13.00,6.50,10.00,13.00
2089-01-01,43.041666585,-80.04166910500001,3.50,8.00,13.00,6.00,9.00,12.50,7.00,11.00,17.00
2090-01-01,43.041666585,-80.04166910500001,4.00,8.00,11.50,6.00,8.50,13.00,8.00,10.00,15.00
2091-01-01,43.041666585,-80.04166910500001,5.00,8.00,12.50,5.50,8.00,10.50,6.50,9.50,13.00
2092-01-01,43.041666585,-80.04166910500001,4.00,7.50,11.00,5.50,10.00,14.00,6.50,11.00,14.50
2093-01-01,43.041666585,-80.04166910500001,5.50,8.50,12.50,5.00,9.50,14.00,7.00,10.00,13.50
2094-01-01,43.041666585,-80.04166910500001,5.50,9.00,11.50,5.00,8.00,12.50,8.00,12.50,17.00
2095-01-01,43.041666585,-80.04166910500001,4.50,8.00,10.50,5.50,9.00,15.00,6.00,10.50,17.00
2096-01-01,43.041666585,-80.04166910500001,6.00,7.50,12.50,6.00,9.00,14.00,6.50,9.00,14.00
2097-01-01,43.041666585,-80.04166910500001,4.00,8.00,11.00,5.50,9.00,11.50,7.00,10.00,16.00
2098-01-01,43.041666585,-80.04166910500001,6.00,8.00,12.00,7.00,9.50,13.00,6.00,10.50,14.00
2099-01-01,43.041666585,-80.04166910500001,4.50,9.00,13.00,5.50,9.00,14.00,5.50,10.50,15.00
2100-01-01,43.041666585,-80.04166910500001,4.00,8.00,13.50,6.00,9.50,14.00,8.00,11.50,18.50
1950-01-01,43.041666585,-79.958335775,4.50,7.00,10.00,4.50,7.00,10.00,4.50,7.00,10.00
1951-01-01,43.041666585,-79.958335775,4.00,6.50,10.00,4.00,6.50,10.00,4.00,6.50,10.00
1952-01-01,43.041666585,-79.958335775,4.00,6.00,9.00,4.00,6.00,9.00,4.00,6.00,9.00
1953-01-01,43.041666585,-79.958335775,3.00,5.50,8.50,3.00,5.50,8.50,3.00,5.50,8.50
1954-01-01,43.041666585,-79.958335775,2.50,6.00,10.50,2.50,6.00,10.50,2.50,6.00,10.50
1955-01-01,43.041666585,-79.958335775,3.00,6.50,9.00,3.00,6.50,9.00,3.00,6.50,9.00
1956-01-01,43.041666585,-79.958335775,4.00,6.00,9.50,4.00,6.00,9.50,4.00,6.00,9.50
1957-01-01,43.041666585,-79.958335775,4.00,6.50,12.00,4.00,6.50,12.00,4.00,6.50,12.00
1958-01-01,43.041666585,-79.958335775,3.00,6.00,10.50,3.00,6.00,10.50,3.00,6.00,10.50
1959-01-01,43.041666585,-79.958335775,3.50,6.50,9.00,3.50,6.50,9.00,3.50,6.50,9.00
1960-01-01,43.041666585,-79.958335775,3.00,6.00,10.00,3.00,6.00,10.00,3.00,6.00,10.00
1961-01-01,43.041666585,-79.958335775,4.00,7.00,11.00,4.00,7.00,11.00,4.00,7.00,11.00
1962-01-01,43.041666585,-79.958335775,3.00,5.50,8.00,3.00,5.50,8.00,3.00,5.50,8.00
1963-01-01,43.041666585,-79.958335775,3.00,6.00,9.50,3.00,6.00,9.50,3.00,6.00,9.50
1964-01-01,43.041666585,-79.958335775,3.00,6.00,8.50,3.00,6.00,8.50,3.00,6.00,8.50
1965-01-01,43.041666585,-79.958335775,3.50,7.00,9.00,3.50,7.00,9.00,3.50,7.00,9.00
1966-01-01,43.041666585,-79.958335775,4.00,7.00,10.00,4.00,7.00,10.00,4.00,7.00,10.00
1967-01-01,43.041666585,-79.958335775,3.50,5.00,8.50,3.50,5.00,8.50,3.50,5.00,8.50
1968-01-01,43.041666585,-79.958335775,3.50,6.00,9.00,3.50,6.00,9.00,3.50,6.00,9.00
1969-01-01,43.041666585,-79.958335775,3.50,6.50,10.50,3.50,6.50,10.50,3.50,6.50,10.50
1970-01-01,43.041666585,-79.958335775,4.00,6.00,9.00,4.00,6.00,9.00,4.00,6.00,9.00
1971-01-01,43.041666585,-79.958335775,2.00,5.00,9.00,2.00,5.00,9.00,2.00,5.00,9.00
1972-01-01,43.041666585,-79.958335775,4.50,8.00,9.50,4.50,8.00,9.50,4.50,8.00,9.50
1973-01-01,43.041666585,-79.958335775,3.50,7.00,9.50,3.50,7.00,9.50,3.50,7.00,9.50
1974-01-01,43.041666585,-79.958335775,3.50,5.50,9.00,3.50,5.50,9.00,3.50,5.50,9.00
1975-01-01,43.041666585,-79.958335775,3.00,7.00,8.50,3.00,7.00,8.50,3.00,7.00,8.50
1976-01-01,43.041666585,-79.958335775,2.00,6.00,10.00,2.00,6.00,10.00,2.00,6.00,10.00
1977-01-01,43.041666585,-79.958335775,2.00,5.00,7.50,2.00,5.00,7.50,2.00,5.00,7.50
1978-01-01,43.041666585,-79.958335775,4.00,6.50,9.00,4.00,6.50,9.00,4.00,6.50,9.00
1979-01-01,43.041666585,-79.958335775,3.00,6.00,10.50,3.00,6.00,10.50,3.00,6.00,10.50
1980-01-01,43.041666585,-79.958335775,4.00,6.50,10.50,4.00,6.50,10.50,4.00,6.50,10.50
1981-01-01,43.041666585,-79.958335775,4.00,7.00,9.00,4.00,7.00,9.00,4.00,7.00,9.00
1982-01-01,43.041666585,-79.958335775,4.50,8.00,9.00,4.50,8.00,9.00,4.50,8.00,9.00
1983-01-01,43.041666585,-79.958335775,5.00,7.00,10.50,5.00,7.00,10.50,5.00,7.00,10.50
1984-01-01,43.041666585,-79.958335775,2.00,6.50,9.50,2.00,6.50,9.50,2.00,6.50,9.50
1985-01-01,43.041666585,-79.958335775,4.50,7.00,9.50,4.50,7.00,9.50,4.50,7.00,9.50
1986-01-01,43.041666585,-79.958335775,4.00,6.50,9.50,4.00,6.50,9.50,4.00,6.50,9.50
1987-01-01,43.041666585,-79.958335775,4.00,6.00,9.00,4.00,6.00,9.00,4.00,6.00,9.00
1988-01-01,43.041666585,-79.958335775,4.00,6.00,11.00,4.00,6.00,11.00,4.00,6.00,11.00
1989-01-01,43.041666585,-79.958335775,4.00,7.00,9.00,4.00,7.00,9.00,4.00,7.00,9.00
1990-01-01,43.041666585,-79.958335775,2.50,7.50,10.00,2.50,7.50,10.00,2.50,7.50,10.00
1991-01-01,43.041666585,-79.958335775,4.00,6.50,9.00,4.00,6.50,9.00,4.00,6.50,9.00
1992-01-01,43.041666585,-79.958335775,2.00,6.50,9.50,2.00,6.50,9.50,2.00,6.50,9.50
1993-01-01,43.041666585,-79.958335775,4.00,7.00,9.00,4.00,7.00,9.00,4.00,7.00,9.00
1994-01-01,43.041666585,-79.958335775,2.50,6.50,9.00,2.50,6.50,9.00,2.50,6.50,9.00
1995-01-01,43.041666585,-79.958335775,4.00,6.00,9.50,4.00,6.00,9.50,4.00,6.00,9.50
1996-01-01,43.041666585,-79.958335775,3.50,6.50,10.50,3.50,6.50,10.50,3.50,6.50,10.50
1997-01-01,43.041666585,-79.958335775,3.50,7.00,10.00,3.50,7.00,10.00,3.50,7.00,10.00
1998-01-01,43.041666585,-79.958335775,4.00,7.50,10.00,4.00,7.50,10.00,4.00,7.50,10.00
1999-01-01,43.041666585,-79.958335775,3.00,6.00,8.00,3.00,6.00,8.00,3.00,6.00,8.00
2000-01-01,43.041666585,-79.958335775,3.50,6.50,8.00,3.50,6.50,8.00,3.50,6.50,8.00
2001-01-01,43.041666585,-79.958335775,4.00,7.50,12.00,4.00,7.50,12.00,4.00,7.50,12.00
2002-01-01,43.041666585,-79.958335775,3.50,5.50,9.00,3.50,5.50,9.00,3.50,5.50,9.00
2003-01-01,43.041666585,-79.958335775,3.50,6.00,9.50,3.50,6.00,9.50,3.50,6.00,9.50
2004-01-01,43.041666585,-79.958335775,3.50,7.00,9.50,3.50,7.00,9.50,3.50,7.00,9.50
2005-01-01,43.041666585,-79.958335775,3.50,6.50,11.50,3.50,6.50,11.50,3.50,6.50,11.50
2006-01-01,43.041666585,-79.958335775,5.00,7.50,10.00,5.00,7.50,10.00,5.00,7.50,10.00
2007-01-01,43.041666585,-79.958335775,3.00,7.00,11.00,3.00,7.00,11.00,3.00,7.00,11.00
2008-01-01,43.041666585,-79.958335775,4.50,7.00,12.50,4.50,7.00,12.50,4.50,7.00,12.50
2009-01-01,43.041666585,-79.958335775,3.50,8.00,11.50,3.50,8.00,11.50,3.50,8.00,11.50
2010-01-01,43.041666585,-79.958335775,4.50,8.00,12.00,4.00,7.50,12.00,4.00,7.50,12.00
2011-01-01,43.041666585,-79.958335775,3.50,8.00,13.50,3.50,7.50,13.00,3.50,8.00,13.00
2012-01-01,43.041666585,-79.958335775,3.50,6.00,9.50,3.00,6.00,9.50,3.50,6.50,9.50
2013-01-01,43.041666585,-79.958335775,4.00,8.00,12.00,4.00,8.00,12.00,4.50,8.00,12.00
2014-01-01,43.041666585,-79.958335775,6.00,7.50,11.00,6.00,8.00,10.50,6.00,7.50,10.00
2015-01-01,43.041666585,-79.958335775,4.00,7.50,11.50,5.00,7.00,9.50,4.50,7.00,10.50
2016-01-01,43.041666585,-79.958335775,5.00,8.00,12.00,4.00,8.00,12.00,4.00,7.00,11.50
2017-01-01,43.041666585,-79.958335775,4.00,6.00,10.50,5.50,8.00,10.50,5.00,8.00,10.00
2018-01-01,43.041666585,-79.958335775,4.00,6.50,11.50,5.00,7.00,10.00,5.50,9.00,11.50
2019-01-01,43.041666585,-79.958335775,4.00,7.00,11.00,2.50,7.50,10.00,3.50,7.00,12.00
2020-01-01,43.041666585,-79.958335775,2.50,7.00,10.50,4.00,8.00,11.00,4.50,7.00,11.50
2021-01-01,43.041666585,-79.958335775,3.00,7.50,14.00,3.00,7.00,10.00,5.50,7.50,10.00
2022-01-01,43.041666585,-79.958335775,5.00,8.00,10.00,3.00,7.00,11.00,5.00,8.00,10.00
2023-01-01,43.041666585,-79.958335775,4.00,7.00,10.00,4.00,7.00,12.00,4.50,8.00,12.50
2024-01-01,43.041666585,-79.958335775,3.00,6.00,11.00,5.00,7.50,11.50,4.50,7.00,11.00
2025-01-01,43.041666585,-79.958335775,4.00,8.00,11.00,4.00,7.00,11.00,4.00,8.50,11.50
2026-01-01,43.041666585,-79.958335775,5.00,7.50,11.50,4.00,6.00,11.00,3.00,8.50,11.00
2027-01-01,43.041666585,-79.958335775,4.50,8.50,11.00,4.00,8.50,11.50,4.00,7.50,10.00
2028-01-01,43.041666585,-79.958335775,5.00,8.00,12.00,5.00,8.00,11.00,6.00,8.00,11.00
2029-01-01,43.041666585,-79.958335775,4.00,7.00,10.00,4.00,7.00,9.00,4.50,8.50,12.00
2030-01-01,43.041666585,-79.958335775,4.50,7.00,11.50,3.00,7.50,11.50,4.50,8.00,10.00
2031-01-01,43.041666585,-79.958335775,4.00,8.00,9.50,5.00,7.50,11.00,5.50,8.00,10.00
2032-01-01,43.041666585,-79.958335775,5.00,8.00,10.00,4.50,8.00,15.00,5.00,8.50,14.00
2033-01-01,43.041666585,-79.958335775,6.00,8.00,11.00,4.00,7.00,11.00,4.00,9.00,13.50
2034-01-01,43.041666585,-79.958335775,5.00,9.00,11.00,5.00,7.00,12.00,5.00,7.00,11.00
2035-01-01,43.041666585,-79.958335775,5.00,9.00,12.00,4.50,7.50,13.00,3.50,7.50,10.00
2036-01-01,43.041666585,-79.958335775,3.50,7.00,11.50,4.00,7.00,11.50,4.50,9.00,11.00
2037-01-01,43.041666585,-79.958335775,5.00,9.00,13.00,4.00,8.00,12.50,5.00,9.00,11.50
2038-01-01,43.041666585,-79.958335775,6.00,8.00,10.50,4.00,7.00,11.00,4.50,8.50,11.50
2039-01-01,43.041666585,-79.958335775,5.00,8.00,9.00,5.50,8.50,11.50,4.00,7.50,11.00
2040-01-01,43.041666585,-79.958335775,5.00,9.00,12.50,3.00,8.00,12.50,5.00,8.00,12.50
2041-01-01,43.041666585,-79.958335775,4.00,10.00,13.00,4.50,8.00,10.00,6.00,9.00,14.00
2042-01-01,43.041666585,-79.958335775,5.00,8.00,13.00,5.00,8.50,12.50,5.50,8.00,11.50
2043-01-01,43.041666585,-79.958335775,4.50,8.00,12.50,5.50,8.00,13.50,5.00,8.00,12.50
2044-01-01,43.041666585,-79.958335775,5.00,8.50,11.50,5.50,7.50,11.00,4.00,8.00,12.50
2045-01-01,43.041666585,-79.958335775,5.00,7.00,12.00,4.50,8.00,11.00,4.00,8.50,12.50
2046-01-01,43.041666585,-79.958335775,5.00,8.00,13.00,3.50,7.50,12.00,4.50,7.50,10.50
2047-01-01,43.041666585,-79.958335775,5.50,8.50,11.50,4.50,8.50,12.50,5.00,7.50,13.00
2048-01-01,43.041666585,-79.958335775,4.50,8.00,12.00,4.00,8.00,12.00,4.50,8.50,13.50
2049-01-01,43.041666585,-79.958335775,4.00,7.00,11.00,4.00,8.00,11.50,4.50,8.00,12.50
2050-01-01,43.041666585,-79.958335775,5.00,8.00,14.00,5.00,9.00,12.00,4.00,8.50,12.00
2051-01-01,43.041666585,-79.958335775,5.00,8.00,13.50,4.50,8.00,12.00,4.50,9.00,13.00
2052-01-01,43.041666585,-79.958335775,5.50,7.00,10.00,5.00,9.00,11.50,3.00,7.50,11.50
2053-01-01,43.041666585,-79.958335775,3.00,6.00,10.00,5.50,9.00,13.50,5.00,8.50,12.00
2054-01-01,43.041666585,-79.958335775,5.00,8.00,12.50,5.50,8.00,11.00,4.50,8.00,13.00
2055-01-01,43.041666585,-79.958335775,4.00,8.00,11.50,4.50,8.00,12.00,6.50,9.00,12.50
2056-01-01,43.041666585,-79.958335775,5.00,9.00,12.00,5.50,8.00,13.00,5.50,8.00,11.50
2057-01-01,43.041666585,-79.958335775,5.00,7.50,13.00,4.50,8.00,13.00,5.00,9.00,15.00
2058-01-01,43.041666585,-79.958335775,5.00,10.00,13.50,5.00,8.00,12.00,6.00,9.50,13.00
2059-01-01,43.041666585,-79.958335775,4.50,8.00,11.50,5.00,9.00,11.50,5.50,8.00,13.00
2060-01-01,43.041666585,-79.958335775,5.00,7.00,10.50,5.50,8.00,12.50,5.00,10.50,13.00
2061-01-01,43.041666585,-79.958335775,4.00,8.00,11.00,5.50,8.00,15.00,4.50,9.00,13.50
2062-01-01,43.041666585,-79.958335775,4.50,7.50,11.50,6.00,8.50,12.50,3.50,8.00,13.00
2063-01-01,43.041666585,-79.958335775,5.00,8.00,11.00,4.00,8.00,11.50,5.00,10.00,13.50
2064-01-01,43.041666585,-79.958335775,4.00,9.00,12.00,4.50,8.50,13.50,5.50,10.00,12.50
2065-01-01,43.041666585,-79.958335775,5.00,9.00,13.00,5.00,8.50,13.50,5.00,8.00,11.00
2066-01-01,43.041666585,-79.958335775,5.50,9.00,12.50,7.00,9.00,11.50,5.50,8.00,13.00
2067-01-01,43.041666585,-79.958335775,5.00,7.00,11.00,5.00,7.50,11.00,5.50,7.50,11.50
2068-01-01,43.041666585,-79.958335775,5.00,7.00,9.50,7.00,9.00,11.50,6.00,9.00,12.00
2069-01-01,43.041666585,-79.958335775,5.50,8.00,11.50,4.00,8.00,12.00,4.00,9.50,12.00
2070-01-01,43.041666585,-79.958335775,4.00,8.00,11.00,6.00,10.00,13.50,5.00,10.00,14.00
2071-01-01,43.041666585,-79.958335775,3.50,7.00,11.50,5.00,8.00,11.00,6.00,10.00,14.50
2072-01-01,43.041666585,-79.958335775,4.50,8.00,12.50,3.00,8.00,11.50,7.00,9.50,13.50
2073-01-01,43.041666585,-79.958335775,5.00,9.00,14.00,5.00,9.00,15.00,5.50,10.00,13.50
2074-01-01,43.041666585,-79.958335775,3.50,8.00,13.00,6.00,8.50,14.00,6.50,10.00,15.00
2075-01-01,43.041666585,-79.958335775,5.50,8.50,13.50,5.50,8.50,11.00,6.00,9.50,14.00
2076-01-01,43.041666585,-79.958335775,5.00,9.00,13.00,5.50,9.00,13.50,5.00,10.00,13.00
2077-01-01,43.041666585,-79.958335775,4.00,7.00,12.00,5.50,9.00,13.00,6.00,10.00,16.00
2078-01-01,43.041666585,-79.958335775,5.00,8.50,11.00,5.00,8.00,11.50,6.00,9.50,14.00
2079-01-01,43.041666585,-79.958335775,3.50,8.00,10.50,5.00,7.00,11.00,6.50,10.50,14.50
2080-01-01,43.041666585,-79.958335775,5.00,7.50,12.00,5.00,9.00,14.00,6.00,10.00,14.00
2081-01-01,43.041666585,-79.958335775,6.00,9.00,11.50,5.50,9.00,12.00,6.50,10.00,14.00
2082-01-01,43.041666585,-79.958335775,5.00,9.00,12.00,6.00,10.00,12.00,5.50,9.00,13.00
2083-01-01,43.041666585,-79.958335775,5.50,8.00,10.50,5.00,8.00,12.00,6.00,8.00,14.50
2084-01-01,43.041666585,-79.958335775,6.50,10.00,15.00,5.50,8.00,11.00,4.50,9.50,16.00
2085-01-01,43.041666585,-79.958335775,5.00,8.50,12.00,5.00,9.00,14.00,6.50,11.00,15.00
2086-01-01,43.041666585,-79.958335775,4.50,8.50,15.50,6.00,10.00,14.00,6.00,11.00,13.50
2087-01-01,43.041666585,-79.958335775,5.00,8.00,11.00,5.00,9.00,13.00,5.50,11.00,15.00
2088-01-01,43.041666585,-79.958335775,4.50,8.00,12.00,6.00,9.00,13.00,6.50,10.00,13.50
2089-01-01,43.041666585,-79.958335775,4.00,8.00,12.50,5.50,9.00,12.50,7.50,10.50,17.00
2090-01-01,43.041666585,-79.958335775,4.00,8.50,11.50,5.50,9.00,12.00,7.50,10.00,15.50
2091-01-01,43.041666585,-79.958335775,5.00,8.00,12.00,6.00,8.00,11.00,5.50,9.00,13.00
2092-01-01,43.041666585,-79.958335775,4.00,7.00,11.00,5.50,9.00,14.00,6.00,11.00,15.00
2093-01-01,43.041666585,-79.958335775,5.00,8.00,12.50,5.00,9.50,14.50,7.00,10.00,13.50
2094-01-01,43.041666585,-79.958335775,5.50,9.00,11.00,4.50,8.00,12.00,7.50,12.50,17.00
2095-01-01,43.041666585,-79.958335775,4.50,8.00,11.00,5.50,8.50,14.50,6.00,10.00,16.00
2096-01-01,43.041666585,-79.958335775,6.00,8.00,12.50,6.50,9.00,14.00,6.50,9.00,14.00
2097-01-01,43.041666585,-79.958335775,4.50,8.00,11.00,5.50,9.00,11.00,6.50,10.00,16.00
2098-01-01,43.041666585,-79.958335775,6.00,8.00,11.50,6.50,9.50,13.50,7.00,10.00,14.00
2099-01-01,43.041666585,-79.958335775,4.50,9.00,13.00,5.50,9.00,13.50,5.50,11.00,15.50
2100-01-01,43.041666585,-79.958335775,4.50,8.00,13.00,6.00,10.00,13.50,7.50,12.00,19.00
1950-01-01,43.041666585,-79.875002445,4.50,6.50,10.00,4.50,6.50,10.00,4.50,6.50,10.00
1951-01-01,43.041666585,-79.875002445,4.00,6.00,10.00,4.00,6.00,10.00,4.00,6.00,10.00
1952-01-01,43.041666585,-79.875002445,4.00,6.00,9.00,4.00,6.00,9.00,4.00,6.00,9.00
1953-01-01,43.041666585,-79.875002445,2.50,5.00,9.00,2.50,5.00,9.00,2.50,5.00,9.00
1954-01-01,43.041666585,-79.875002445,3.00,5.50,10.00,3.00,5.50,10.00,3.00,5.50,10.00
1955-01-01,43.041666585,-79.875002445,3.00,6.00,9.00,3.00,6.00,9.00,3.00,6.00,9.00
1956-01-01,43.041666585,-79.875002445,5.00,6.00,9.50,5.00,6.00,9.50,5.00,6.00,9.50
1957-01-01,43.041666585,-79.875002445,4.00,6.00,12.00,4.00,6.00,12.00,4.00,6.00,12.00
1958-01-01,43.041666585,-79.875002445,3.50,6.00,10.50,3.50,6.00,10.50,3.50,6.00,10.50
1959-01-01,43.041666585,-79.875002445,3.50,6.00,9.00,3.50,6.00,9.00,3.50,6.00,9.00
1960-01-01,43.041666585,-79.875002445,3.00,6.00,10.00,3.00,6.00,10.00,3.00,6.00,10.00
1961-01-01,43.041666585,-79.875002445,4.00,7.00,10.00,4.00,7.00,10.00,4.00,7.00,10.00
1962-01-01,43.041666585,-79.875002445,3.00,5.50,7.50,3.00,5.50,7.50,3.00,5.50,7.50
1963-01-01,43.041666585,-79.875002445,2.50,6.00,9.00,2.50,6.00,9.00,2.50,6.00,9.00
1964-01-01,43.041666585,-79.875002445,3.00,6.00,9.00,3.00,6.00,9.00,3.00,6.00,9.00
1965-01-01,43.041666585,-79.875002445,4.00,6.50,9.00,4.00,6.50,9.00,4.00,6.50,9.00
1966-01-01,43.041666585,-79.875002445,4.50,7.00,10.50,4.50,7.00,10.50,4.50,7.00,10.50
1967-01-01,43.041666585,-79.875002445,3.50,5.00,8.50,3.50,5.00,8.50,3.50,5.00,8.50
1968-01-01,43.041666585,-79.875002445,3.50,6.00,8.50,3.50,6.00,8.50,3.50,6.00,8.50
1969-01-01,43.041666585,-79.875002445,4.00,6.00,12.00,4.00,6.00,12.00,4.00,6.00,12.00
1970-01-01,43.041666585,-79.875002445,4.00,6.00,9.00,4.00,6.00,9.00,4.00,6.00,9.00
1971-01-01,43.041666585,-79.875002445,2.00,5.00,8.50,2.00,5.00,8.50,2.00,5.00,8.50
1972-01-01,43.041666585,-79.875002445,4.50,7.50,9.50,4.50,7.50,9.50,4.50,7.50,9.50
1973-01-01,43.041666585,-79.875002445,3.50,7.00,10.00,3.50,7.00,10.00,3.50,7.00,10.00
1974-01-01,43.041666585,-79.875002445,3.50,5.50,8.50,3.50,5.50,8.50,3.50,5.50,8.50
1975-01-01,43.041666585,-79.875002445,4.00,6.50,8.50,4.00,6.50,8.50,4.00,6.50,8.50
1976-01-01,43.041666585,-79.875002445,2.00,6.00,10.00,2.00,6.00,10.00,2.00,6.00,10.00
1977-01-01,43.041666585,-79.875002445,2.00,5.00,8.50,2.00,5.00,8.50,2.00,5.00,8.50
1978-01-01,43.041666585,-79.875002445,4.00,6.50,9.50,4.00,6.50,9.50,4.00,6.50,9.50
1979-01-01,43.041666585,-79.875002445,3.00,6.00,10.00,3.00,6.00,10.00,3.00,6.00,10.00
1980-01-01,43.041666585,-79.875002445,4.00,7.00,10.50,4.00,7.00,10.50,4.00,7.00,10.50
1981-01-01,43.041666585,-79.875002445,3.50,7.00,8.50,3.50,7.00,8.50,3.50,7.00,8.50
1982-01-01,43.041666585,-79.875002445,4.50,7.00,9.50,4.50,7.00,9.50,4.50,7.00,9.50
1983-01-01,43.041666585,-79.875002445,5.00,7.00,10.00,5.00,7.00,10.00,5.00,7.00,10.00
1984-01-01,43.041666585,-79.875002445,2.00,6.00,9.50,2.00,6.00,9.50,2.00,6.00,9.50
1985-01-01,43.041666585,-79.875002445,4.50,6.50,9.00,4.50,6.50,9.00,4.50,6.50,9.00
